name, distance, score, address
Full Moon Mandarin Cuisine, None, 4.0 out of 5, [u'429 Alvarado St', u'Monterey, CA 93940']
China Garden, None, 3.5 out of 5, [u'600 Munras Ave', u'Monterey, CA 93940']
Chong's Szechwan Restaurant, None, 3.5 out of 5, [u'485 Tyler St', u'Monterey, CA 93940']
Great Wall Restaurant, None, 3.5 out of 5, [u'724 Abrego St', u'Monterey, CA 93940']
Chef Lee's Mandarin House, None, 3.0 out of 5, [u'2031 N Fremont St', u'Monterey, CA 93940']
P.F. Chang's, None, 3.5 out of 5, [u'1200 Del Monte Center', u'Monterey, CA 93940']
Jim's Chinese Restaurant, None, 4.0 out of 5, [u'1584 Del Monte Blvd', u'Seaside, CA 93955']
Happy Dragon, None, 3.0 out of 5, [u'2329 Fremont St', u'Monterey, CA 93940']
Tommy's Wok, None, 4.0 out of 5, [u'Mission & Ocean', u'Carmel, CA 93921']
Dynasty Restaurant, None, 3.0 out of 5, [u'1116 Forest Ave', u'Ste A', u'Pacific Grove, CA 93950']
Golden China Restaurant, None, 3.5 out of 5, [u'1784 Fremont Blvd', u'Seaside, CA 93955']
Oriental Gourmet, None, 3.5 out of 5, [u'1184 Forest Ave', u'Unit G', u'Pacific Grove, CA 93950']
China Delight Restaurant, None, 3.0 out of 5, [u'145 The Crossroads', u'Carmel, CA 93923']
Ho - Wah, None, 3.5 out of 5, [u'3116 Del Monte Blvd', u'Marina, CA 93933']
China House, None, 2.5 out of 5, [u'126 Ocean View Blvd', u'Pacific Grove, CA 93950']
Chopstix, None, 3.5 out of 5, [u'1244 Munras Ave', u'Monterey, CA 93940']
Lee's Garden Restaurant, None, 3.5 out of 5, [u'215 Reservation Rd', u'Ste A', u'Marina, CA 93933']
Orient Restaurant, None, 4.0 out of 5, [u'1760 Fremont Blvd', u'Ste C2', u'Seaside, CA 93955']
Oh! Sushi, None, 3.5 out of 5, [u'2030 Fremont St', u'Monterey, CA 93940']
Panda Kitchen, None, 4.0 out of 5, [u'Pacific Grove Farmers Market', u'Pacific Grove, CA 93950']
